columna,total,nulos,pct_nulos,unicos,media,desv_std,min,max
cpu_usr,117,0,0.0,42,44.9906,6.1881,0.0,54.4
cpu_sys,117,0,0.0,25,16.7769,2.3066,0.0,19.1
cpu_idl,117,0,0.0,34,28.7932,4.154,0.0,42.9
cpu_wai,117,0,0.0,6,0.1128,0.0886,0.0,0.6
cpu_stl,117,0,0.0,1,0.0,0.0,0.0,0.0
memory_percent,117,0,0.0,63,53.9043,3.2511,42.4,58.1
memory_used_mb,117,0,0.0,93,2110.8974,127.3259,1661.0,2276.0
memory_available_mb,117,0,0.0,94,1805.1709,127.3405,1641.0,2255.0
disk_read_per_sec,117,0,0.0,110,668976.1538,3790966.2163,0.0,36350725.0
disk_write_per_sec,117,0,0.0,116,4607856.453,1598718.3539,0.0,10162894.0
net_send_per_sec,117,0,0.0,109,6727.4017,17380.5906,2628.0,185829.0
net_recv_per_sec,117,0,0.0,116,38413.9915,57832.0719,18698.0,530004.0
load1,117,0,0.0,99,8.6572,1.627,1.4,10.42
load5,117,0,0.0,107,6.6662,2.183,0.5,9.14
load15,117,0,0.0,110,4.1665,1.4197,1.29,6.38
active_sessions,117,0,0.0,10,28.4103,4.2995,23.0,36.0
active_requests,117,0,0.0,13,16.0,4.5239,10.0,25.0
long_queries,117,0,0.0,1,0.0,0.0,0.0,0.0
long_transactions,117,0,0.0,1,0.0,0.0,0.0,0.0
idle_sessions,117,0,0.0,14,26.8034,4.3077,20.0,34.0
lock_waits,117,0,0.0,1,0.0,0.0,0.0,0.0
total_locks,117,0,0.0,7,14.4103,6.107,13.0,48.0
deadlocks_per_sec,117,0,0.0,1,0.0,0.0,0.0,0.0
venta_locks,117,0,0.0,3,0.1453,1.2266,0.0,13.0
detalle_venta_locks,117,0,0.0,1,0.0,0.0,0.0,0.0
inventario_locks,117,0,0.0,1,0.0,0.0,0.0,0.0
kardex_locks,117,0,0.0,5,0.3077,1.6788,0.0,11.0
caja_locks,117,0,0.0,1,0.0,0.0,0.0,0.0
movimiento_caja_locks,117,0,0.0,2,0.1026,0.7811,0.0,6.0
auditoria_locks,117,0,0.0,1,0.0,0.0,0.0,0.0
transactions_per_sec,117,2,1.71,113,146.8143,35.8407,78.34,230.42
total_reads,117,2,1.71,8,0.0166,0.0631,0.0,0.4
total_writes,117,2,1.71,41,1.0544,2.0306,0.0,14.8667
page_life_expectancy,117,0,0.0,113,798.3761,420.5455,41.0,1572.0
buffer_cache_hit_ratio,117,0,0.0,2,99.9993,0.0074,99.92,100.0
page_reads_per_sec,117,2,1.71,1,0.0,0.0,0.0,0.0
page_writes_per_sec,117,2,1.71,1,0.0,0.0,0.0,0.0
rollbacks_per_sec,117,2,1.71,1,0.0,0.0,0.0,0.0
batch_requests_per_sec,117,2,1.71,1,0.0,0.0,0.0,0.0
sql_compilations_per_sec,117,2,1.71,1,0.0,0.0,0.0,0.0
api_status,117,0,0.0,2,5.1282,31.7483,0.0,200.0
api_latency_ms,117,0,0.0,12,4895.9744,697.3004,28.0,5011.0
products_count,117,0,0.0,3,17.4872,108.2858,0.0,702.0
sales_count,117,0,0.0,1,0.0,0.0,0.0,0.0
events_login_count,117,0,0.0,1,0.0,0.0,0.0,0.0
events_logout_count,117,0,0.0,1,0.0,0.0,0.0,0.0
events_batch_count,117,0,0.0,13,3.4274,2.7111,0.0,12.0
events_lock_count,117,0,0.0,14,2.359,3.9095,0.0,17.0
events_wait_count,117,0,0.0,1,0.0,0.0,0.0,0.0
duration_max_ms,117,0,0.0,94,2873.3419,1868.2525,0.0,5370.0
duration_avg_ms,117,0,0.0,100,1703.483,1491.7316,0.0,5213.0
query_duration_max_ms,117,0,0.0,94,2873.3419,1868.2525,0.0,5370.0
query_duration_avg_ms,117,0,0.0,100,1703.483,1491.7316,0.0,5213.0
cpu_time_sum_ms,117,0,0.0,66,153.4872,182.343,0.0,1120.0
logical_reads_sum,117,0,0.0,3,13.5385,139.1777,0.0,1504.0
writes_sum,117,0,0.0,1,0.0,0.0,0.0,0.0
wait_lck_count,117,0,0.0,1,0.0,0.0,0.0,0.0
wait_io_count,117,0,0.0,1,0.0,0.0,0.0,0.0
wait_log_count,117,0,0.0,1,0.0,0.0,0.0,0.0
distinct_sessions_count,117,0,0.0,7,1.6667,1.1597,0.0,6.0
cpu_total,117,0,0.0,41,61.7675,8.3694,0.0,71.2
query_count,117,0,0.0,13,3.4274,2.7111,0.0,12.0
wait_count,117,0,0.0,1,0.0,0.0,0.0,0.0
lock_event_count,117,0,0.0,14,2.359,3.9095,0.0,17.0
error_count,117,0,0.0,1,0.0,0.0,0.0,0.0
requests_per_session,117,0,0.0,23,0.5527,0.0753,0.4348,0.7143
max_server_memory,117,114,97.44,1,4096.0,0.0,4096.0,4096.0
user_connections_setting,117,114,97.44,1,0.0,0.0,0.0,0.0
cost_threshold,117,114,97.44,1,5.0,0.0,5.0,5.0
log_error_count,117,0,0.0,4,0.0513,0.3436,0.0,3.0
log_warning_count,117,0,0.0,1,0.0,0.0,0.0,0.0
log_fatal_count,117,0,0.0,1,0.0,0.0,0.0,0.0
