timestamp,active_requests,active_sessions,api_latency_ms,api_status,auditoria_locks,batch_requests_per_sec,buffer_cache_hit_ratio,caja_locks,cost_threshold,cpu_idl,cpu_stl,cpu_sys,cpu_usr,cpu_wai,database_size_mb,deadlocks_per_sec,detalle_venta_locks,disk_read_per_sec,disk_write_per_sec,idle_sessions,inventario_locks,kardex_locks,load1,load15,load5,lock_waits,max_server_memory,memory_available_mb,memory_percent,memory_used_mb,movimiento_caja_locks,net_recv_per_sec,net_send_per_sec,page_life_expectancy,page_reads_per_sec,page_writes_per_sec,products_count,rollbacks_per_sec,sales_count,sql_compilations_per_sec,total_locks,total_reads,total_writes,transactions_per_sec,user_connections_setting,venta_locks,cpu_total,events_login_count,events_logout_count,events_wait_count,events_lock_count,events_batch_count,query_duration_max_ms,query_duration_avg_ms,cpu_time_sum_ms,logical_reads_sum,writes_sum,wait_lck_count,wait_io_count,wait_log_count,distinct_sessions_count,query_count,wait_count,lock_event_count,error_count,duration_max_ms,duration_avg_ms,long_queries,long_transactions,log_error_count,log_warning_count,log_fatal_count,requests_per_session
2026-09-04 05:39:55,12.0,23.0,208.0,200.0,0.0,,100.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36350725.0,0.0,21.0,0.0,0.0,1.4,1.7,0.5,0.0,,2255.0,42.4,1661.0,0.0,164565.0,55388.0,41.0,,,702.0,,0.0,,13.0,,,,,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,2,0,0,0.5217391304347826
2026-09-04 05:40:06,11.0,23.0,5008.0,0.0,0.0,0.0,100.0,0.0,,32.5,0.0,17.5,43.8,0.6,0.0,0.0,0.0,16600818.0,1009934.0,22.0,0.0,0.0,2.77,1.79,0.83,0.0,,2189.0,44.1,1727.0,0.0,42599.0,7436.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.36363636363636365,0.8181818181818182,89.42,,0.0,61.3,0,0,0,17,8,2180.0,833.625,202.0,80.0,0.0,0,0,0,3,8,0,17,0,2180.0,833.625,0,0,1,0,0,0.4782608695652174
2026-09-04 05:40:21,24.0,34.0,5008.0,0.0,0.0,0.0,100.0,0.0,,22.1,0.0,16.8,54.4,0.3,0.0,0.0,0.0,95120.0,3939119.0,32.0,0.0,0.0,4.06,1.9,1.22,0.0,,2170.0,44.6,1746.0,0.0,51273.0,5369.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.26666666666666666,9.133333333333333,158.55,,0.0,71.2,0,0,0,1,7,2243.0,1228.4285714285713,253.0,0.0,0.0,0,0,0,3,7,0,1,0,2243.0,1228.4285714285713,0,0,0,0,0,0.7058823529411765
2026-09-04 05:40:36,22.0,34.0,5008.0,0.0,0.0,0.0,100.0,0.0,,26.6,0.0,16.7,49.2,0.0,0.0,0.0,0.0,118115.0,3433691.0,32.0,0.0,0.0,5.33,2.03,1.63,0.0,,2113.0,46.1,1803.0,0.0,35752.0,5587.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.2,0.4,116.99,,0.0,65.9,0,0,0,1,5,2247.0,964.6,511.0,0.0,0.0,0,0,0,1,5,0,1,0,2247.0,964.6,0,0,0,0,0,0.6470588235294118
2026-09-04 05:40:52,22.0,34.0,5006.0,0.0,0.0,0.0,100.0,0.0,,28.4,0.0,16.2,47.9,0.1,0.0,0.0,0.0,77375.0,4550014.0,33.0,0.0,0.0,5.7,2.11,1.9,0.0,,2088.0,46.7,1828.0,0.0,36076.0,5767.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.1875,121.5,,0.0,64.1,0,0,0,0,4,2136.0,1082.0,231.0,0.0,0.0,0,0,0,1,4,0,0,0,2136.0,1082.0,0,0,0,0,0,0.6470588235294118
2026-09-04 05:41:07,23.0,34.0,5007.0,0.0,0.0,0.0,100.0,0.0,,28.1,0.0,16.4,47.9,0.0,0.0,0.0,0.0,62122.0,3899071.0,33.0,0.0,0.0,5.89,2.18,2.12,0.0,,2081.0,46.9,1835.0,0.0,34020.0,5726.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.2,78.34,,0.0,64.3,0,0,0,0,5,2176.0,1301.8,354.0,0.0,0.0,0,0,0,1,5,0,0,0,2176.0,1301.8,0,0,0,0,0,0.6764705882352942
2026-09-04 05:41:22,23.0,34.0,5007.0,0.0,0.0,0.0,100.0,0.0,,28.2,0.0,16.6,47.2,0.0,0.0,0.0,0.0,90402.0,4310519.0,33.0,0.0,0.0,6.41,2.27,2.41,0.0,,2075.0,47.0,1842.0,0.0,33162.0,5417.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.2,122.05,,0.0,63.800000000000004,0,0,0,0,4,2172.0,1089.25,260.0,0.0,0.0,0,0,0,2,4,0,0,0,2172.0,1089.25,0,0,0,0,0,0.6764705882352942
2026-09-04 05:41:37,22.0,34.0,5007.0,0.0,0.0,0.0,100.0,0.0,,28.3,0.0,16.2,47.8,0.3,0.0,0.0,0.0,191286.0,6567829.0,33.0,0.0,0.0,7.41,2.41,2.83,0.0,,2051.0,47.6,1865.0,0.0,38754.0,5725.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.5333333333333333,152.15,,0.0,64.0,0,0,0,14,6,2065.0,1032.3333333333333,70.0,0.0,0.0,0,0,0,3,6,0,14,0,2065.0,1032.3333333333333,0,0,0,0,0,0.6470588235294118
2026-09-04 05:41:53,22.0,34.0,5006.0,0.0,0.0,0.0,100.0,0.0,,29.2,0.0,17.5,45.5,0.1,0.0,0.0,0.0,35589.0,4437592.0,30.0,0.0,0.0,8.21,2.55,3.23,0.0,,2038.0,48.0,1878.0,0.0,35962.0,5513.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.4375,148.96,,0.0,63.0,0,0,0,0,4,2265.0,1189.0,442.0,0.0,0.0,0,0,0,1,4,0,0,0,2265.0,1189.0,0,0,0,0,0,0.6470588235294118
2026-09-04 05:42:08,23.0,34.0,5007.0,0.0,0.0,0.0,100.0,0.0,,29.3,0.0,17.3,45.9,0.1,0.0,0.0,0.0,119909.0,7372537.0,33.0,0.0,0.0,8.26,2.65,3.48,0.0,,2018.0,48.5,1898.0,0.0,36811.0,5737.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.7333333333333333,181.06,,0.0,63.2,0,0,0,0,4,2357.0,1211.0,458.0,0.0,0.0,0,0,0,1,4,0,0,0,2357.0,1211.0,0,0,0,0,0,0.6764705882352942
